title
베트남 공략 나선 롯데카드
새 인터넷은행 토스뱅크vs키움뱅크…인가 한곳? 두곳 다?
자본력의 '키움'이냐 특화뱅크 '토스'냐
[단독] '키움뱅크' 컨소시엄에 롯데도 참여···세븐일레븐·롯데멤버스 확정
11번가서도 롯데 엘포인트 할인·적립
"11번가, 25일부터 롯데 엘포인트 할인·적립 제공"
"11번가, 롯데 엘포인트 할인·적립된다"
블록체인 기반 전자영수증 시대...페이 구분 없이 탈세방지
2월 엘포인트 소비지수 6.9% 하락…미세먼지 가전만 웃었다
3·1운동 100주년 맞아 '가치 소비'…편의점 애국마케팅 성공(종합)
"롯데멤버스, 빅데이터 포털 사이트 '딥비전' 오픈"
"웅진씽크빅, 서울시와 빅데이터 업무협약"
"서울시, 신한은행 등 8개 기업과 '상권 분석 데이터' 만든다"
"서울시-8개기업, 서울시민 도시생활 데이터 제공"
31개 품목 한달 할인···'심폐소생' 나선 마트
"롯데마트 ""자체 브랜드 13%→50%까지 늘려…中企제품 확대"""
"롯데마트, PB제조 파트너사 초청 PB 컨퍼런스 개최"
"‘소비자 중심 PB’ 만들자…롯데마트, 협력사와 PB컨퍼런스"
"주 52시간 근무제 시행 이후, '맛집' 검색 줄고 인테리어·홈트레이닝 어플 사용 급증…가정 내 활동 증가 때문"
"롯데멤버스, '엘포인트' 맞춤 서비스로 고객이 원하는 삶의 가치 창출"
"롯데마트, 4천원대 '극한 한우' 선 봬"
"희림, 키움뱅크 컨소시엄 참여… 스마트 건축서비스 제공"
"롯데, 인터넷은행 출사표… 키움뱅크 컨소시엄 참여"
"[마켓인사이트]‘금융플랫폼’ 꿈꾸는 SK증권, 인터넷은행에도 출사표"
"세븐일레븐, 제3인터넷전문은행 `키움뱅크` 참가"
"키움뱅크, 인터넷전문은행 출사표"
2곳이냐 1곳이냐…키움 vs 토스 격전 막 올랐다
"제3 인터넷은행, 키움뱅크vs토스뱅크 ‘2파전’"
"롯데멤버스-세븐일레븐 ‘키움뱅크 컨소시엄’ 참여, ‘제3인터넷전문은행’ 도전…“금융 소외계층 지원 강화할 것”"
제3인터넷은행 예비인가 키움·토스·애니밴드 3사 출사표
제3 인터넷은행 예비인가 3곳 신청…키움뱅크·토스뱅크 2파전 될 듯
"키움·토스·애니밴드 3사, 인터넷전문銀 예비인가 신청(상보)"
"제3인터넷은행, 2곳 인가 신청"
"키움뱅크·토스뱅크 컨소시엄, 인터넷은행 예비인가 신청"
11번가에서도 롯데포인트 적립 받는다
"11번가, 롯데 엘포인트 할인·적립…오픈마켓 최초"
미세먼지 빼주는 가전·식재료 잘 나가네
롯데 금융부문 인수 후보들 관심사는 ‘성장동력 있느냐’
2019유통트렌드는 챗봇서비스 등 '편익소비'
올해의 쇼핑 트렌드는…셀프주문·무인점포·챗봇
"롯데마트, 베트남 14호점 ‘꺼우져이점’ 오픈…""북베트남 시장 공략"""
"롯데마트, 베트남 14번째 매장 '꺼우져이점' 오픈"
"롯데마트, 하노이 ‘꺼우져이점’ 오픈"
"롯데마트, 베트남 ‘꺼우져이점’ 오픈…하노이 중심 북베트남 시장 공략"
"롯데마트, 하노이에 베트남 14호점 ‘꺼우져이점’ 오픈"
"롯데마트, 베트남 하노이에 14번째 점포 '꺼우져이점' 열어"
"롯데마트, 베트남 14호점 오픈…해외 출점 가속화"
"롯데멤버스, 제5회 엘포인트 빅데이터 컴피티션 시상식"
"항공사 마일리지, 난 땅에서 쌓는다"
"[단독] ""스타벅스코리아가 특허 침해"" 수천억대 전자영수증 시장 소송전"
"롯데멤버스 ""엘포인트로 밸런타인 데이 '소확행' 선물하세요"""
"롯데百 ""결혼 준비도 '나심비'""…올 첫 웨딩 페어"
"롯데멤버스, 11개 부문에서 경력직 공개 채용 실시"
"롯데멤버스, 상반기 경력직 공개 채용…오는 17일까지 접수"
"롯데멤버스, 17일까지 상반기 경력직 공개 채용"
신용ㆍ체크카드 결제 알림도 카카오톡으로
"카카오, 카드 결제 알림톡 수신 서비스…""문자보다 안전"""
"신한카드, 카톡으로 결제 메시지 전송…삼성·현대도 협의"
신용카드 결제 메시지도 카톡으로 받는다
'결혼 안해' 비혼식 하고 '셀프 혼수' 준비하는 비혼족
신혼부부 10쌍 중 7쌍 '실속형 웨딩' 택했다…신혼여행지 '하와이' 1위
"신세대 부부들 ""예물·예단 줄이고 신혼여행·가전에 투자할래요"""
"[단독] 롯데 모바일결제, 해킹 여부 수사 착수"
"황각규 롯데 부회장 ""카드 매각시 전략적 제휴 맺겠다""…'몸값' 높이기"
"롯데멤버스, ‘빅플레저’ 캠페인 진행...재즈-영화 즐기면서 기부"
`우물 안 개구리` 벗어나는 간편결제 SSG페이·L페이
"SSG페이·L페이, 우물 안 개구리 신세 벗어날까"
롯데카드도 예비입찰…한화그룹 ‘눈독’·KB금융 등 ‘저울질’
"롯데멤버스, ""엘포인트로 세뱃돈 주면 세뱃돈 지원금 드려요"""
가장 받고 싶은 설 선물 2위는 ‘한우세트’…1위는?
올해 설 선물 고민된다면…설 선물 선호도 1위는?
"[현장] 신동빈 회장, 경영 복귀 후 첫 사장단회의…'긴장 속 침묵'"
'물류비 논란' 껄끄러웠나…'기자들 없는 길' 택한 문영표 롯데마트 대표
사장단 회의 참석하는 강승하 롯데멤버스 대표
회의 참석하는 강승하 롯데멤버스 대표
"""베트남 회원들도 L-POINT"" 롯데 제휴카드 출시"
베트남에서도 엘포인트 쓴다…롯데멤버스 적립형 카드 출시
이제는 지갑 열기전 나심비 따진다
“올해 쇼핑 트렌드는 나심비(나+심리+가성비)”
'나심비' 저격하는 취미가전·명품소비 증가
롯데 금융3社 누구 품에?… 한화-금융지주-사모펀드까지 눈독
"유통업계, 빅데이터 역량 강화 ‘잰걸음’"
"""영화관서 엘포인트 쓰면 1000원씩 기부""…롯데멤버스, 소외 이웃에 1억 기부"
"롯데멤버스, API 공유 '오픈 플랫폼' 사이트 론칭"
"롯데멤버스 '오픈 플랫폼' 사이트 오픈…""파트너사 협력 강화"""
"엘포인트 고객센터, 12~1시 일괄 점심시간"
"롯데멤버스, 고객센터 일괄 점심시간 운영"
"""상담원도 밥 먹어야죠""…롯데멤버스, '일괄 점심시간' 운영"
"[단독]롯데카드 인수전 본격화…한화 ‘자료 요청’, 하나금융 ‘TF 구성’"
"롯데마트, 베트남 하노이에 14호점 '꺼우져이점' 오픈"
받고 싶은 설 선물 1위는 상품권
간편결제 소매치기?…산 적도 없는데 결제된 150만원 '황당'
"롯데멤버스, 오늘부터 고객센터 점심시간 운영"
