title_dt,body_dt
상대적으로 덜 더웠던 여름…유통가 여름 특수 '실종',"롯데 멤버스는 7월 엘포인트 소비지수가 여름 특수 실종과 미·중 무역 분쟁, 일본 수출규제 등의 영향으로 전년 동월보다 4.9% 하락했다고 밝혔습니다."
상대적으로 덜 더웠던 여름…유통가 여름 특수 '실종',유통영역별로는 인터넷 쇼핑이 3% 증가한 것을 제외한 모든 부분의 소비지수가 하락했습니다.
상대적으로 덜 더웠던 여름…유통가 여름 특수 '실종',특히 냉방 가전 수요가 줄면서 가전 전문 판매점의 소비지수가 전년 동기보다 24%나 떨어졌습니다.
상대적으로 덜 더웠던 여름…유통가 여름 특수 '실종',"또 편의점 소비지수는 0.2%, 백화점 5%, 슈퍼마켓 10%, 대형마트 11% 각각 하락했습니다."
상대적으로 덜 더웠던 여름…유통가 여름 특수 '실종',---
상대적으로 덜 더웠던 여름…유통가 여름 특수 '실종',정부가 지난해 11월부터 한시적으로 적용했던 유류세 인하를 더는 연장하지 않기로 했습니다.
상대적으로 덜 더웠던 여름…유통가 여름 특수 '실종',"이에 따라 다음 달 1일부터 ℓ당 휘발유 가격은 58원, 경유는 41원, LPG부탄은 14원 비싸집니다."
상대적으로 덜 더웠던 여름…유통가 여름 특수 '실종',"정부는 지난해 11월 경기 활성화와 서민 생활 안정 등의 이유로 유류세를 15% 인하했고, 올해 5월 7일부터는 인하폭을 7%로 축소해 이달 31일까지 연장했습니다."
상대적으로 덜 더웠던 여름…유통가 여름 특수 '실종',---
상대적으로 덜 더웠던 여름…유통가 여름 특수 '실종',"한국은행은 '2분기 중 가계신용' 통계에서 6월 말 가계신용 잔액이 3월 말보다 16조 2천억 원, 1.1% 증가한 1천556조 1천억 원으로 집계됐다고 밝혔습니다."
상대적으로 덜 더웠던 여름…유통가 여름 특수 '실종',2분기 증가폭은 작년 동기의 24조 1천억 원 보다는 작지만 올해 1분기 3조 2천억 원 보다는 크게 늘어난 수준입니다.
상대적으로 덜 더웠던 여름…유통가 여름 특수 '실종',정부의 강력한 대출 규제로 지난해부터 가계 빚 증가속도가 줄어든 가운데 2분기 들어서도 완만한 증가세가 이어졌습니다.
상대적으로 덜 더웠던 여름…유통가 여름 특수 '실종',다만 가계 빚 증가속도는 소득 증가속도보다는 여전히 높은 상황입니다.
상대적으로 덜 더웠던 여름…유통가 여름 특수 '실종',    
